gene	hits	maxp	avg_af	avg_maf	avg_beta	COG	eggNOG_annot
recR	27	15.0767559814	0.580181481481	0.419818518519	20.8851851852	L	May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO
gltA	6	7.96257350206	0.512816666667	0.487183333333	20.3333333333	E	Glutamate synthase
ref_02265	3	6.72815839346	0.317266666667	0.317266666667	17.4333333333	S	YibE F-like protein
ref_02266	10	6.80410034759	0.41137	0.41137	17.69	L	COG0494 NTP pyrophosphohydrolases including oxidative damage repair enzymes
ref_02267	9	6.72815839346	0.453944444444	0.453944444444	17.8777777778		
tagE_2	19	7.96257350206	0.386321052632	0.386321052632	18.2210526316	M	Glycosyl transferase 1 domain A
sle1	13	7.96257350206	0.261576923077	0.261576923077	18.0230769231	M	Peptidoglycan hydrolase involved in the splitting of the septum during cell division
metQ_2	11	6.80410034759	0.300036363636	0.300036363636	17.8	P	Belongs to the nlpA lipoprotein family
metN	21	7.1214782045	0.474142857143	0.474142857143	17.5380952381	P	Part of the ABC transporter complex MetNIQ involved in methionine import. Responsible for energy coupling to the transport system
mccB	27	7.1214782045	0.449288888889	0.449288888889	17.6592592593	E	COG0626 Cystathionine beta-lyases cystathionine gamma-synthases
mccA	14	6.85387196432	0.365385714286	0.365385714286	17.5357142857	E	Cysteine synthase
ref_02275	20	6.85387196432	0.266515	0.266515	17.34	NA	NA
ref_02276	27	10.8446639625	0.420877777778	0.420877777778	18.0888888889	S	Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family
est_2	2	6.69897000434	0.05265	0.05265	17.95	S	Serine aminopeptidase, S33
ref_02279	13	7.96257350206	0.2473	0.2473	18.7	I	PA-phosphatase related membrane protein
ref_02280	5	7.96257350206	0.41924	0.41924	19.4		
ref_02281	9	7.96257350206	0.5434	0.4566	18.4111111111	S	Uncharacterized conserved protein (DUF2294)
ref_02282	72	7.96257350206	0.549536111111	0.450463888889	19.1333333333	S	Belongs to the UPF0753 family
ref_02282	2	7.46092390121	0.10045	0.10045	18.95	S	Belongs to the UPF0753 family
ndhB	54	7.96257350206	0.443275925926	0.443275925926	18.4962962963	CP	Proton-conducting membrane transporter
yciC_2	24	7.96257350206	0.4105375	0.4105375	18	S	Cobalamin synthesis protein cobW C-terminal domain
ref_02285	7	7.96257350206	0.439671428571	0.439671428571	19.2857142857	S	3-demethylubiquinone-9 3-methyltransferase
ref_02286	17	7.96257350206	0.262329411765	0.262329411765	18.3705882353	G	Phosphotransferase system, EIIC
guaA	43	6.57839607313	0.485295348837	0.485295348837	17.2976744186	F	Catalyzes the synthesis of GMP from XMP
guaB	10	6.57839607313	0.40627	0.40627	17.18	F	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth
ref_02299	7	7.96257350206	0.304914285714	0.304914285714	19.6857142857	A	protein ubiquitination
tcyP	27	7.96257350206	0.348066666667	0.348066666667	19.862962963	U	Belongs to the dicarboxylate amino acid cation symporter (DAACS) (TC 2.A.23) family
nfrA	3	7.96257350206	0.365266666667	0.365266666667	20.2666666667	C	Reduces FMN, organic nitro compounds and disulfide DTNB. Involved in maintenance of the cellular redox state and the disulfide stress response
hpcG	13	7.96257350206	0.403807692308	0.403807692308	19.3846153846	Q	hydratase
ahpC	7	7.96257350206	0.445671428571	0.445671428571	19.5857142857	O	Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides
ahpF	20	7.96257350206	0.46442	0.46442	19.005	O	Alkyl hydroperoxide reductase
ref_02305	6	7.96257350206	0.0677666666667	0.0677666666667	19.5333333333		
ref_02306	12	7.96257350206	0.10765	0.10765	19.5083333333		
gpmA_2	11	7.96257350206	0.2014	0.2014	18.6272727273	G	Belongs to the phosphoglycerate mutase family
rhtC	14	7.96257350206	0.4959	0.4959	18.1214285714	E	LysE type translocator
ref_02309	15	7.96257350206	0.45936	0.45936	17.5866666667	S	Transglycosylase associated protein
ref_02310	29	15.0767559814	0.468986206897	0.468986206897	18.3	NA	NA
rpsR	25	15.0767559814	0.390132	0.390132	19.032	J	Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit
rpsF	6	5.93930215965	0.350866666667	0.350866666667	16.5333333333	J	Binds together with S18 to 16S ribosomal RNA
ref_02314	41	6.57839607313	0.451787804878	0.451787804878	17.4853658537	M	Glycosyl hydrolases family 25
ref_02315	21	6.57839607313	0.313604761905	0.313604761905	17.5476190476		
ychF	7	6.57839607313	0.1723	0.1723	17.5285714286	J	ATPase that binds to both the 70S ribosome and the 50S ribosomal subunit in a nucleotide-independent manner
spo0J	8	7.96257350206	0.2733375	0.2733375	18.475	K	Belongs to the ParB family
metI	29	7.96257350206	0.333617241379	0.333617241379	18.0551724138	E	COG0626 Cystathionine beta-lyases cystathionine gamma-synthases
metI	2	6.37778597703	0.5002	0.4998	18.1	E	COG0626 Cystathionine beta-lyases cystathionine gamma-synthases
metE	7	7.96257350206	0.308885714286	0.308885714286	18.4857142857	E	Catalyzes the transfer of a methyl group from 5- methyltetrahydrofolate to homocysteine resulting in methionine formation
ref_02324	5	7.96257350206	0.75522	0.24478	17.68	S	Metal-dependent hydrolase
ref_02325	9	7.96257350206	0.169011111111	0.169011111111	19.1666666667	I	Belongs to the thiolase family
ref_02326	5	7.96257350206	0.05166	0.05166	19.6	S	YozE SAM-like fold
ref_02327	7	7.96257350206	0.5318	0.4682	18.8571428571	K	transcriptional
ref_02328	14	8.08830984125	0.36445	0.36445	16.8714285714	S	Protein of unknown function (DUF3169)
btuD_8	6	7.96257350206	0.0566	0.0566	18.7333333333	V	ABC transporter, ATP-binding protein
ydaF	9	8.08830984125	0.0562888888889	0.0562888888889	15.9177777778	J	Acetyltransferase (GNAT) domain
gtfA_4	5	8.08830984125	0.07078	0.07078	14.012	M	Glycosyl transferases group 1
ygcS	24	7.96257350206	0.2234625	0.2234625	18.4041666667	EGP	Sugar (and other) transporter
spsB_3	6	7.96257350206	0.34135	0.34135	18.6833333333	U	Belongs to the peptidase S26 family
ref_02339	8	7.34582345812	0.3952625	0.3952625	18.2875		
bceA_2	4	7.96257350206	0.50005	0.49995	20.4	V	ABC transporter, ATP-binding protein
bceB_3	19	7.96257350206	0.468694736842	0.468694736842	18.2210526316	V	ABC transporter (permease)
ref_02343	10	6.55284196866	0.39704	0.39704	16.97		
lip2_2	86	7.96257350206	0.29088372093	0.29088372093	17.4790697674	D	acetyltransferases and hydrolases with the alpha beta hydrolase fold
ref_02345	27	6.85387196432	0.177518518519	0.177518518519	17.6	NA	NA
macB	2	5.87942606879	0.5002	0.4998	16.3	V	COG0577 ABC-type antimicrobial peptide transport system, permease component
macB	7	6.85387196432	0.5584	0.4416	17.4142857143	V	COG0577 ABC-type antimicrobial peptide transport system, permease component
yknY	8	6.85387196432	0.385125	0.385125	17.85	V	ABC transporter, ATP-binding protein
ref_02348	16	6.85387196432	0.32444375	0.32444375	17.74375	M	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family
ref_02349	11	6.37778597703	0.218345454545	0.218345454545	16.7545454545	S	Yip1 domain
ref_02350	17	6.48148606012	0.307335294118	0.307335294118	15.8258823529	K	Helix-turn-helix domain
ref_02351	7	6.17134010346	0.300671428571	0.300671428571	16.04	K	Transcriptional regulator
ref_02353	4	5.93930215965	0.281	0.281	16.35	S	Protein of unknown function (DUF3147)
noc	10	7.96257350206	0.32385	0.32385	17.92	K	Belongs to the ParB family
rsmG	4	7.96257350206	0.278625	0.278625	19.225	J	Specifically methylates the N7 position of guanine in position 535 of 16S rRNA
mnmG	8	7.96257350206	0.51365	0.48635	18.6125	D	NAD-binding protein involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA-cmnm(5)s(2)U34
mnmE	7	6.37778597703	0.566114285714	0.433885714286	16.9857142857	J	Exhibits a very high intrinsic GTPase hydrolysis rate. Involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA- cmnm(5)s(2)U34
rpmH	2	7.96257350206	0.48105	0.48105	19.35	J	Belongs to the bacterial ribosomal protein bL34 family
