snp-dists 0.6.3	GCA_0101358351	GCA_0101378951	GCA_0101429751	GCA_0101430351	GCA_0101430551	GCA_0101430751	GCA_0101430851	GCA_0101430951	GCA_0101431051	GCA_0101431551	GCA_0101431751	GCA_0101431851	GCA_0101431951	GCA_0101433051	GCA_0101435951	GCA_0101436651	GCA_0101437451	GCA_0101439151	GCA_0101441051	GCA_0101443251	GCA_0101445551	GCA_0101446351	GCA_0101451451	GCA_0101616951	GCA_0101617351	GCA_0101618651	GCA_0101620151	GCA_0101623851	GCA_0101625351	GCA_0101626851	GCA_0101629251	GCA_0101693951	GCA_0101694951	GCA_0101710151	GCA_0101710251	GCA_0101710951	GCA_0101713551	GCA_0101713651	GCA_0101714151	GCA_0101715251	GCA_0101715651	GCA_0101716851	GCA_0101718951	GCA_0101720751	GCA_0101721751	GCA_0101721951	GCA_0101722551	GCA_0101723251	GCA_0101723951	GCA_0101724451	GCA_0101724551	GCA_0101724951	GCA_0101726651	Reference	abfrh	abkuz	abkvm	abkwr	abkxb	acvbk	acvce	acvcn	acvco	acvcp	acvcq	acvcr	acvcu	acvcv	acvcw	acvcx	acvdp	acvdq	acvdr	acvds	acvdt	acvdu	acvdv	acvdw	acvdx	acveg	acvek	acvel	acvem	acvep	acveq	acver	acvev	acvew	acvez	acvgi	acvgl	acvgu	acvgw	acvgz	acvha	acvhb	adptn	adpty	adptz	adpug	adpul	adpum	adpvc	adpvf	adpvg	adpvi	adpvj	adpvl	adpvm	adpvo	adpvp	adpvq	adpvz	adpwe	adpwh	adpwj	adpwm	adpwn	adpwo	adpwp	adpwq	adpws	adpwt	adpwu	adpww	adpwx	adpyl	adpym	adpyn	adpyo	adpyp	adpyq	adpyr	adpys	adpzn	adpzo	adpzp	adpzq	adpzr	adpzs	adpzt	adpzu	adpzv	adpzw	adpzx	adpzy	adpzz	adqbt	adqbu	adqbv	adqbw	adqbx	adqby	adqcp	adqcq	adqcu	adqcv	adqcw	adqcx	adqcy	adqcz	adqda	adqdb	adqdh	adqdi	adqdj	adqdk	adqdl	adqdm	adqdn	adqdo	adqdp	adqdq	adqdr	adqds	adqdt	adqdu	adqdv	adqdw	adqdy	adqer	adqes	adqet	adqeu	adqev	adqew	adqex	adqey	adqez	adqfa	adqfb	adqfc	adqfd	adqfe	adqff	adqfg	adqfh	adqfi	adqib	adqic	adqid	adqie	adqif	adqig	adqih	adqii	adtqb	adtqc	adtqd	adtqe	adtqf	adtqg	adtqi	adtqj	adtqk	adtql	adtqm	adtqn	adtqo	adtqp	adtqq	adtqr	adtqs	adtqt	adtqw	adtqx	adtqy	adtqz	adtra	adtrb	adtrj	adtrk	adtrl	adtrm	adtrn	adtro	adtrp	adtrq	adtrr	adtrs	adtrt	adtru	adtrv	adtrw	adtrx	adtry	adtrz	adtsa	adtsb	adtsc	adtsd	adtsg	adtsh	adtsi	adtsk	adtsl	adtsm	adtsn	adtso	adtss	adtsu	adtsv	adtsw	adtsx	adtsy
GCA_0101724951	6	872	6	1	0	4	6	1	0	3	4	3	2	3	4	5	3	6	3	3	4	2	2	3	5	5	3	4	3	3	3	2	5	3	3	1	2	6	3	5	6	3	3	9	1	1	1	3	1	3	6	0	3	638	625	625	617	635	635	640	625	625	625	625	625	625	625	625	626	625	635	634	634	635	634	634	634	612	635	635	634	635	635	640	642	640	640	642	640	640	641	640	640	637	634	636	621	623	621	626	624	623	639	635	635	635	635	640	641	637	638	639	626	626	635	635	636	636	635	635	636	635	635	635	636	635	639	640	640	639	639	640	639	640	639	639	640	640	639	638	639	640	639	638	639	639	640	635	635	635	635	634	634	635	634	639	641	639	639	638	638	640	637	645	646	647	645	644	644	645	645	645	645	645	645	645	647	647	644	645	647	647	645	645	647	647	645	646	646	645	644	647	647	645	645	644	644	644	658	658	658	657	654	658	658	654	654	655	654	659	657	658	657	657	655	654	655	657	655	656	656	655	659	659	654	654	655	654	654	657	669	670	669	669	670	670	670	671	669	671	670	670	669	669	670	670	670	671	670	642	643	642	643	642	642	643	643	642	642	643	643	642	642	647	644
GCA_0101726651	7	871	7	4	3	5	7	4	3	4	5	6	3	4	5	6	4	7	4	4	5	5	3	4	6	6	4	3	4	4	4	5	6	4	4	4	3	7	4	8	7	4	6	10	4	4	2	4	4	4	7	3	0	637	624	624	616	634	634	639	624	624	624	624	624	624	624	624	625	624	634	633	633	634	633	633	633	611	634	634	633	634	634	639	641	639	639	641	639	639	640	639	639	636	633	635	620	622	620	625	623	622	638	634	634	634	634	639	640	636	637	638	625	625	634	634	635	635	634	634	635	634	634	634	635	634	638	639	639	638	638	639	638	639	638	638	639	639	638	637	638	639	638	637	638	638	639	634	634	634	634	633	633	634	633	638	640	638	638	637	637	639	636	644	645	646	644	643	643	644	644	644	644	644	644	644	646	646	643	644	646	646	644	644	646	646	644	645	645	644	643	646	646	644	644	643	643	643	657	657	657	656	653	657	657	653	653	654	653	658	656	657	656	656	654	653	654	656	654	655	655	654	658	658	653	653	654	653	653	656	668	669	668	668	669	669	669	670	668	670	669	669	668	668	669	669	669	670	669	641	642	641	642	641	641	642	642	641	641	642	642	641	641	646	643
Reference	642	798	640	639	638	640	642	639	638	639	640	641	638	639	640	641	639	642	639	639	640	640	638	639	641	641	639	638	639	639	639	640	641	639	637	639	638	642	639	643	640	639	641	645	639	639	637	639	639	639	642	638	637	0	81	81	73	91	91	96	81	81	81	81	81	81	81	81	82	81	91	90	90	91	90	90	90	110	91	91	90	91	91	96	98	96	96	98	96	96	97	96	96	93	90	92	119	121	119	124	122	121	95	53	53	53	53	96	97	93	94	95	124	124	53	53	54	54	53	53	54	53	53	53	54	53	95	96	96	95	95	96	95	96	95	95	96	96	95	94	95	96	95	94	95	95	96	91	91	91	91	90	90	91	90	95	97	95	95	94	94	96	93	101	102	103	101	100	100	101	101	101	101	101	101	101	103	103	100	101	103	103	101	101	103	103	101	102	102	101	100	103	103	101	101	100	100	100	114	114	114	113	110	114	114	110	110	111	110	115	113	114	113	113	111	110	111	113	111	112	112	111	115	115	110	110	111	110	110	113	125	126	125	125	126	126	126	127	125	127	126	126	125	125	126	126	126	127	126	140	141	140	141	140	140	141	141	140	140	141	141	140	140	103	100
abfrh	629	785	627	626	625	627	629	626	625	626	627	628	625	626	627	628	626	629	626	626	627	627	625	626	628	628	626	625	626	626	626	627	628	626	624	626	625	629	626	630	627	626	628	632	626	626	624	626	626	626	629	625	624	81	0	0	54	72	72	83	0	2	2	2	0	2	2	2	3	2	72	71	71	72	71	71	71	97	72	72	71	72	72	83	85	83	83	85	83	83	84	83	83	74	71	73	106	108	106	111	109	108	82	78	78	78	78	83	84	80	81	82	111	111	78	78	79	79	78	78	79	78	78	78	79	78	82	83	83	82	82	83	82	83	82	82	83	83	82	81	82	83	82	81	82	82	83	72	72	72	72	71	71	72	71	82	84	82	82	81	81	83	80	88	89	90	88	87	87	88	88	88	88	88	88	88	90	90	87	88	90	90	88	88	90	90	88	89	89	88	87	90	90	88	88	87	87	87	101	101	101	100	97	101	101	97	97	98	97	102	100	101	100	100	98	97	98	100	98	99	99	98	102	102	97	97	98	97	97	100	112	113	112	112	113	113	113	114	112	114	113	113	112	112	113	113	113	114	113	127	128	127	128	127	127	128	128	127	127	128	128	127	127	90	87
abkuz	629	785	627	626	625	627	629	626	625	626	627	628	625	626	627	628	626	629	626	626	627	627	625	626	628	628	626	625	626	626	626	627	628	626	624	626	625	629	626	630	627	626	628	632	626	626	624	626	626	626	629	625	624	81	0	0	54	72	72	83	0	2	2	2	0	2	2	2	3	2	72	71	71	72	71	71	71	97	72	72	71	72	72	83	85	83	83	85	83	83	84	83	83	74	71	73	106	108	106	111	109	108	82	78	78	78	78	83	84	80	81	82	111	111	78	78	79	79	78	78	79	78	78	78	79	78	82	83	83	82	82	83	82	83	82	82	83	83	82	81	82	83	82	81	82	82	83	72	72	72	72	71	71	72	71	82	84	82	82	81	81	83	80	88	89	90	88	87	87	88	88	88	88	88	88	88	90	90	87	88	90	90	88	88	90	90	88	89	89	88	87	90	90	88	88	87	87	87	101	101	101	100	97	101	101	97	97	98	97	102	100	101	100	100	98	97	98	100	98	99	99	98	102	102	97	97	98	97	97	100	112	113	112	112	113	113	113	114	112	114	113	113	112	112	113	113	113	114	113	127	128	127	128	127	127	128	128	127	127	128	128	127	127	90	87
abkvm	621	777	619	618	617	619	621	618	617	618	619	620	617	618	619	620	618	621	618	618	619	619	617	618	620	620	618	617	618	618	618	619	620	618	616	618	617	621	618	622	619	618	620	624	618	618	616	618	618	618	621	617	616	73	54	54	0	64	64	75	54	54	54	54	54	54	54	54	55	54	64	63	63	64	63	63	63	89	64	64	63	64	64	75	77	75	75	77	75	75	76	75	75	66	63	65	98	100	98	103	101	100	74	70	70	70	70	75	76	72	73	74	103	103	70	70	71	71	70	70	71	70	70	70	71	70	74	75	75	74	74	75	74	75	74	74	75	75	74	73	74	75	74	73	74	74	75	64	64	64	64	63	63	64	63	74	76	74	74	73	73	75	72	80	81	82	80	79	79	80	80	80	80	80	80	80	82	82	79	80	82	82	80	80	82	82	80	81	81	80	79	82	82	80	80	79	79	79	93	93	93	92	89	93	93	89	89	90	89	94	92	93	92	92	90	89	90	92	90	91	91	90	94	94	89	89	90	89	89	92	104	105	104	104	105	105	105	106	104	106	105	105	104	104	105	105	105	106	105	119	120	119	120	119	119	120	120	119	119	120	120	119	119	82	79
abkwr	639	795	637	636	635	637	639	636	635	636	637	638	635	636	637	638	636	639	636	636	637	637	635	636	638	638	636	635	636	636	636	637	638	636	634	636	635	639	636	640	637	636	638	642	636	636	634	636	636	636	639	635	634	91	72	72	64	0	2	93	72	72	72	72	72	72	72	72	73	72	0	1	1	0	1	1	1	107	2	0	1	2	2	93	95	93	93	95	93	93	94	93	93	4	1	1	116	118	116	121	119	118	92	88	88	88	88	93	94	90	91	92	121	121	88	88	89	89	88	88	89	88	88	88	89	88	92	93	93	92	92	93	92	93	92	92	93	93	92	91	92	93	92	91	92	92	93	0	0	2	2	1	1	0	1	92	94	92	92	91	91	93	90	98	99	100	98	97	97	98	98	98	98	98	98	98	100	100	97	98	100	100	98	98	100	100	98	99	99	98	97	100	100	98	98	97	97	97	111	111	111	110	107	111	111	107	107	108	107	112	110	111	110	110	108	107	108	110	108	109	109	108	112	112	107	107	108	107	107	110	122	123	122	122	123	123	123	124	122	124	123	123	122	122	123	123	123	124	123	137	138	137	138	137	137	138	138	137	137	138	138	137	137	100	97
abkxb	639	795	637	636	635	637	639	636	635	636	637	638	635	636	637	638	636	639	636	636	637	637	635	636	638	638	636	635	636	636	636	637	638	636	634	636	635	639	636	640	637	636	638	642	636	636	634	636	636	636	639	635	634	91	72	72	64	2	0	93	72	72	72	72	72	72	72	72	73	72	2	1	1	2	1	1	1	107	2	2	1	2	2	93	95	93	93	95	93	93	94	93	93	4	1	3	116	118	116	121	119	118	92	88	88	88	88	93	94	90	91	92	121	121	88	88	89	89	88	88	89	88	88	88	89	88	92	93	93	92	92	93	92	93	92	92	93	93	92	91	92	93	92	91	92	92	93	2	2	2	2	1	1	2	1	92	94	92	92	91	91	93	90	98	99	100	98	97	97	98	98	98	98	98	98	98	100	100	97	98	100	100	98	98	100	100	98	99	99	98	97	100	100	98	98	97	97	97	111	111	111	110	107	111	111	107	107	108	107	112	110	111	110	110	108	107	108	110	108	109	109	108	112	112	107	107	108	107	107	110	122	123	122	122	123	123	123	124	122	124	123	123	122	122	123	123	123	124	123	137	138	137	138	137	137	138	138	137	137	138	138	137	137	100	97
acvbk	644	800	642	641	640	642	644	641	640	641	642	643	640	641	642	643	641	644	641	641	642	642	640	641	643	643	641	640	641	641	641	642	643	641	639	641	640	644	641	645	642	641	643	647	641	641	639	641	641	641	644	640	639	96	83	83	75	93	93	0	83	83	83	83	83	83	83	83	84	83	93	92	92	93	92	92	92	112	93	93	92	93	93	0	2	0	0	4	0	12	11	12	10	95	92	94	119	121	119	126	122	121	9	93	93	93	93	10	11	9	10	11	126	126	93	93	94	94	93	93	94	93	93	93	94	93	11	10	10	11	11	10	11	10	11	11	10	10	11	10	11	10	9	10	9	11	10	93	93	93	93	92	92	93	92	9	11	9	9	8	10	10	9	15	18	17	15	16	16	15	15	15	15	15	15	17	17	17	16	15	17	17	15	15	17	17	15	16	16	15	16	17	17	17	15	16	16	16	110	110	110	109	106	110	110	106	106	107	106	111	109	110	109	109	107	106	107	109	107	108	108	107	111	111	106	106	107	106	106	109	127	128	127	127	128	128	128	129	127	129	128	128	127	127	128	128	128	129	128	142	143	142	143	142	142	143	143	142	142	143	143	142	142	17	16
acvce	629	785	627	626	625	627	629	626	625	626	627	628	625	626	627	628	626	629	626	626	627	627	625	626	628	628	626	625	626	626	626	627	628	626	624	626	625	629	626	630	627	626	628	632	626	626	624	626	626	626	629	625	624	81	0	0	54	72	72	83	0	2	2	2	0	2	2	2	3	2	72	71	71	72	71	71	71	97	72	72	71	72	72	83	85	83	83	85	83	83	84	83	83	74	71	73	106	108	106	111	109	108	82	78	78	78	78	83	84	80	81	82	111	111	78	78	79	79	78	78	79	78	78	78	79	78	82	83	83	82	82	83	82	83	82	82	83	83	82	81	82	83	82	81	82	82	83	72	72	72	72	71	71	72	71	82	84	82	82	81	81	83	80	88	89	90	88	87	87	88	88	88	88	88	88	88	90	90	87	88	90	90	88	88	90	90	88	89	89	88	87	90	90	88	88	87	87	87	101	101	101	100	97	101	101	97	97	98	97	102	100	101	100	100	98	97	98	100	98	99	99	98	102	102	97	97	98	97	97	100	112	113	112	112	113	113	113	114	112	114	113	113	112	112	113	113	113	114	113	127	128	127	128	127	127	128	128	127	127	128	128	127	127	90	87
acvcn	629	785	627	626	625	627	629	626	625	626	627	628	625	626	627	628	626	629	626	626	627	627	625	626	628	628	626	625	626	626	626	627	628	626	624	626	625	629	626	630	627	626	628	632	626	626	624	626	626	626	629	625	624	81	2	2	54	72	72	83	2	0	0	0	2	0	0	0	1	0	72	71	71	72	71	71	71	97	72	72	71	72	72	83	85	83	83	85	83	83	84	83	83	74	71	73	106	108	106	111	109	108	82	78	78	78	78	83	84	80	81	82	111	111	78	78	79	79	78	78	79	78	78	78	79	78	82	83	83	82	82	83	82	83	82	82	83	83	82	81	82	83	82	81	82	82	83	72	72	72	72	71	71	72	71	82	84	82	82	81	81	83	80	88	89	90	88	87	87	88	88	88	88	88	88	88	90	90	87	88	90	90	88	88	90	90	88	89	89	88	87	90	90	88	88	87	87	87	101	101	101	100	97	101	101	97	97	98	97	102	100	101	100	100	98	97	98	100	98	99	99	98	102	102	97	97	98	97	97	100	112	113	112	112	113	113	113	114	112	114	113	113	112	112	113	113	113	114	113	127	128	127	128	127	127	128	128	127	127	128	128	127	127	90	87
acvco	629	785	627	626	625	627	629	626	625	626	627	628	625	626	627	628	626	629	626	626	627	627	625	626	628	628	626	625	626	626	626	627	628	626	624	626	625	629	626	630	627	626	628	632	626	626	624	626	626	626	629	625	624	81	2	2	54	72	72	83	2	0	0	0	2	0	0	0	1	0	72	71	71	72	71	71	71	97	72	72	71	72	72	83	85	83	83	85	83	83	84	83	83	74	71	73	106	108	106	111	109	108	82	78	78	78	78	83	84	80	81	82	111	111	78	78	79	79	78	78	79	78	78	78	79	78	82	83	83	82	82	83	82	83	82	82	83	83	82	81	82	83	82	81	82	82	83	72	72	72	72	71	71	72	71	82	84	82	82	81	81	83	80	88	89	90	88	87	87	88	88	88	88	88	88	88	90	90	87	88	90	90	88	88	90	90	88	89	89	88	87	90	90	88	88	87	87	87	101	101	101	100	97	101	101	97	97	98	97	102	100	101	100	100	98	97	98	100	98	99	99	98	102	102	97	97	98	97	97	100	112	113	112	112	113	113	113	114	112	114	113	113	112	112	113	113	113	114	113	127	128	127	128	127	127	128	128	127	127	128	128	127	127	90	87
acvcp	629	785	627	626	625	627	629	626	625	626	627	628	625	626	627	628	626	629	626	626	627	627	625	626	628	628	626	625	626	626	626	627	628	626	624	626	625	629	626	630	627	626	628	632	626	626	624	626	626	626	629	625	624	81	2	2	54	72	72	83	2	0	0	0	2	0	0	0	1	0	72	71	71	72	71	71	71	97	72	72	71	72	72	83	85	83	83	85	83	83	84	83	83	74	71	73	106	108	106	111	109	108	82	78	78	78	78	83	84	80	81	82	111	111	78	78	79	79	78	78	79	78	78	78	79	78	82	83	83	82	82	83	82	83	82	82	83	83	82	81	82	83	82	81	82	82	83	72	72	72	72	71	71	72	71	82	84	82	82	81	81	83	80	88	89	90	88	87	87	88	88	88	88	88	88	88	90	90	87	88	90	90	88	88	90	90	88	89	89	88	87	90	90	88	88	87	87	87	101	101	101	100	97	101	101	97	97	98	97	102	100	101	100	100	98	97	98	100	98	99	99	98	102	102	97	97	98	97	97	100	112	113	112	112	113	113	113	114	112	114	113	113	112	112	113	113	113	114	113	127	128	127	128	127	127	128	128	127	127	128	128	127	127	90	87
acvcq	629	785	627	626	625	627	629	626	625	626	627	628	625	626	627	628	626	629	626	626	627	627	625	626	628	628	626	625	626	626	626	627	628	626	624	626	625	629	626	630	627	626	628	632	626	626	624	626	626	626	629	625	624	81	0	0	54	72	72	83	0	2	2	2	0	2	2	2	3	2	72	71	71	72	71	71	71	97	72	72	71	72	72	83	85	83	83	85	83	83	84	83	83	74	71	73	106	108	106	111	109	108	82	78	78	78	78	83	84	80	81	82	111	111	78	78	79	79	78	78	79	78	78	78	79	78	82	83	83	82	82	83	82	83	82	82	83	83	82	81	82	83	82	81	82	82	83	72	72	72	72	71	71	72	71	82	84	82	82	81	81	83	80	88	89	90	88	87	87	88	88	88	88	88	88	88	90	90	87	88	90	90	88	88	90	90	88	89	89	88	87	90	90	88	88	87	87	87	101	101	101	100	97	101	101	97	97	98	97	102	100	101	100	100	98	97	98	100	98	99	99	98	102	102	97	97	98	97	97	100	112	113	112	112	113	113	113	114	112	114	113	113	112	112	113	113	113	114	113	127	128	127	128	127	127	128	128	127	127	128	128	127	127	90	87
acvcr	629	785	627	626	625	627	629	626	625	626	627	628	625	626	627	628	626	629	626	626	627	627	625	626	628	628	626	625	626	626	626	627	628	626	624	626	625	629	626	630	627	626	628	632	626	626	624	626	626	626	629	625	624	81	2	2	54	72	72	83	2	0	0	0	2	0	0	0	1	0	72	71	71	72	71	71	71	97	72	72	71	72	72	83	85	83	83	85	83	83	84	83	83	74	71	73	106	108	106	111	109	108	82	78	78	78	78	83	84	80	81	82	111	111	78	78	79	79	78	78	79	78	78	78	79	78	82	83	83	82	82	83	82	83	82	82	83	83	82	81	82	83	82	81	82	82	83	72	72	72	72	71	71	72	71	82	84	82	82	81	81	83	80	88	89	90	88	87	87	88	88	88	88	88	88	88	90	90	87	88	90	90	88	88	90	90	88	89	89	88	87	90	90	88	88	87	87	87	101	101	101	100	97	101	101	97	97	98	97	102	100	101	100	100	98	97	98	100	98	99	99	98	102	102	97	97	98	97	97	100	112	113	112	112	113	113	113	114	112	114	113	113	112	112	113	113	113	114	113	127	128	127	128	127	127	128	128	127	127	128	128	127	127	90	87
acvcu	629	785	627	626	625	627	629	626	625	626	627	628	625	626	627	628	626	629	626	626	627	627	625	626	628	628	626	625	626	626	626	627	628	626	624	626	625	629	626	630	627	626	628	632	626	626	624	626	626	626	629	625	624	81	2	2	54	72	72	83	2	0	0	0	2	0	0	0	1	0	72	71	71	72	71	71	71	97	72	72	71	72	72	83	85	83	83	85	83	83	84	83	83	74	71	73	106	108	106	111	109	108	82	78	78	78	78	83	84	80	81	82	111	111	78	78	79	79	78	78	79	78	78	78	79	78	82	83	83	82	82	83	82	83	82	82	83	83	82	81	82	83	82	81	82	82	83	72	72	72	72	71	71	72	71	82	84	82	82	81	81	83	80	88	89	90	88	87	87	88	88	88	88	88	88	88	90	90	87	88	90	90	88	88	90	90	88	89	89	88	87	90	90	88	88	87	87	87	101	101	101	100	97	101	101	97	97	98	97	102	100	101	100	100	98	97	98	100	98	99	99	98	102	102	97	97	98	97	97	100	112	113	112	112	113	113	113	114	112	114	113	113	112	112	113	113	113	114	113	127	128	127	128	127	127	128	128	127	127	128	128	127	127	90	87
acvcv	629	785	627	626	625	627	629	626	625	626	627	628	625	626	627	628	626	629	626	626	627	627	625	626	628	628	626	625	626	626	626	627	628	626	624	626	625	629	626	630	627	626	628	632	626	626	624	626	626	626	629	625	624	81	2	2	54	72	72	83	2	0	0	0	2	0	0	0	1	0	72	71	71	72	71	71	71	97	72	72	71	72	72	83	85	83	83	85	83	83	84	83	83	74	71	73	106	108	106	111	109	108	82	78	78	78	78	83	84	80	81	82	111	111	78	78	79	79	78	78	79	78	78	78	79	78	82	83	83	82	82	83	82	83	82	82	83	83	82	81	82	83	82	81	82	82	83	72	72	72	72	71	71	72	71	82	84	82	82	81	81	83	80	88	89	90	88	87	87	88	88	88	88	88	88	88	90	90	87	88	90	90	88	88	90	90	88	89	89	88	87	90	90	88	88	87	87	87	101	101	101	100	97	101	101	97	97	98	97	102	100	101	100	100	98	97	98	100	98	99	99	98	102	102	97	97	98	97	97	100	112	113	112	112	113	113	113	114	112	114	113	113	112	112	113	113	113	114	113	127	128	127	128	127	127	128	128	127	127	128	128	127	127	90	87
acvcw	630	786	628	627	626	628	630	627	626	627	628	629	626	627	628	629	627	630	627	627	628	628	626	627	629	629	627	626	627	627	627	628	629	627	625	627	626	630	627	631	628	627	629	633	627	627	625	627	627	627	630	626	625	82	3	3	55	73	73	84	3	1	1	1	3	1	1	1	0	1	73	72	72	73	72	72	72	98	73	73	72	73	73	84	86	84	84	86	84	84	85	84	84	75	72	74	107	109	107	112	110	109	83	79	79	79	79	84	85	81	82	83	112	112	79	79	80	80	79	79	80	79	79	79	80	79	83	84	84	83	83	84	83	84	83	83	84	84	83	82	83	84	83	82	83	83	84	73	73	73	73	72	72	73	72	83	85	83	83	82	82	84	81	89	90	91	89	88	88	89	89	89	89	89	89	89	91	91	88	89	91	91	89	89	91	91	89	90	90	89	88	91	91	89	89	88	88	88	102	102	102	101	98	102	102	98	98	99	98	103	101	102	101	101	99	98	99	101	99	100	100	99	103	103	98	98	99	98	98	101	113	114	113	113	114	114	114	115	113	115	114	114	113	113	114	114	114	115	114	128	129	128	129	128	128	129	129	128	128	129	129	128	128	91	88
acvcx	629	785	627	626	625	627	629	626	625	626	627	628	625	626	627	628	626	629	626	626	627	627	625	626	628	628	626	625	626	626	626	627	628	626	624	626	625	629	626	630	627	626	628	632	626	626	624	626	626	626	629	625	624	81	2	2	54	72	72	83	2	0	0	0	2	0	0	0	1	0	72	71	71	72	71	71	71	97	72	72	71	72	72	83	85	83	83	85	83	83	84	83	83	74	71	73	106	108	106	111	109	108	82	78	78	78	78	83	84	80	81	82	111	111	78	78	79	79	78	78	79	78	78	78	79	78	82	83	83	82	82	83	82	83	82	82	83	83	82	81	82	83	82	81	82	82	83	72	72	72	72	71	71	72	71	82	84	82	82	81	81	83	80	88	89	90	88	87	87	88	88	88	88	88	88	88	90	90	87	88	90	90	88	88	90	90	88	89	89	88	87	90	90	88	88	87	87	87	101	101	101	100	97	101	101	97	97	98	97	102	100	101	100	100	98	97	98	100	98	99	99	98	102	102	97	97	98	97	97	100	112	113	112	112	113	113	113	114	112	114	113	113	112	112	113	113	113	114	113	127	128	127	128	127	127	128	128	127	127	128	128	127	127	90	87
acvdp	639	795	637	636	635	637	639	636	635	636	637	638	635	636	637	638	636	639	636	636	637	637	635	636	638	638	636	635	636	636	636	637	638	636	634	636	635	639	636	640	637	636	638	642	636	636	634	636	636	636	639	635	634	91	72	72	64	0	2	93	72	72	72	72	72	72	72	72	73	72	0	1	1	0	1	1	1	107	2	0	1	2	2	93	95	93	93	95	93	93	94	93	93	4	1	1	116	118	116	121	119	118	92	88	88	88	88	93	94	90	91	92	121	121	88	88	89	89	88	88	89	88	88	88	89	88	92	93	93	92	92	93	92	93	92	92	93	93	92	91	92	93	92	91	92	92	93	0	0	2	2	1	1	0	1	92	94	92	92	91	91	93	90	98	99	100	98	97	97	98	98	98	98	98	98	98	100	100	97	98	100	100	98	98	100	100	98	99	99	98	97	100	100	98	98	97	97	97	111	111	111	110	107	111	111	107	107	108	107	112	110	111	110	110	108	107	108	110	108	109	109	108	112	112	107	107	108	107	107	110	122	123	122	122	123	123	123	124	122	124	123	123	122	122	123	123	123	124	123	137	138	137	138	137	137	138	138	137	137	138	138	137	137	100	97
acvdq	638	794	636	635	634	636	638	635	634	635	636	637	634	635	636	637	635	638	635	635	636	636	634	635	637	637	635	634	635	635	635	636	637	635	633	635	634	638	635	639	636	635	637	641	635	635	633	635	635	635	638	634	633	90	71	71	63	1	1	92	71	71	71	71	71	71	71	71	72	71	1	0	0	1	0	0	0	106	1	1	0	1	1	92	94	92	92	94	92	92	93	92	92	3	0	2	115	117	115	120	118	117	91	87	87	87	87	92	93	89	90	91	120	120	87	87	88	88	87	87	88	87	87	87	88	87	91	92	92	91	91	92	91	92	91	91	92	92	91	90	91	92	91	90	91	91	92	1	1	1	1	0	0	1	0	91	93	91	91	90	90	92	89	97	98	99	97	96	96	97	97	97	97	97	97	97	99	99	96	97	99	99	97	97	99	99	97	98	98	97	96	99	99	97	97	96	96	96	110	110	110	109	106	110	110	106	106	107	106	111	109	110	109	109	107	106	107	109	107	108	108	107	111	111	106	106	107	106	106	109	121	122	121	121	122	122	122	123	121	123	122	122	121	121	122	122	122	123	122	136	137	136	137	136	136	137	137	136	136	137	137	136	136	99	96
acvdr	638	794	636	635	634	636	638	635	634	635	636	637	634	635	636	637	635	638	635	635	636	636	634	635	637	637	635	634	635	635	635	636	637	635	633	635	634	638	635	639	636	635	637	641	635	635	633	635	635	635	638	634	633	90	71	71	63	1	1	92	71	71	71	71	71	71	71	71	72	71	1	0	0	1	0	0	0	106	1	1	0	1	1	92	94	92	92	94	92	92	93	92	92	3	0	2	115	117	115	120	118	117	91	87	87	87	87	92	93	89	90	91	120	120	87	87	88	88	87	87	88	87	87	87	88	87	91	92	92	91	91	92	91	92	91	91	92	92	91	90	91	92	91	90	91	91	92	1	1	1	1	0	0	1	0	91	93	91	91	90	90	92	89	97	98	99	97	96	96	97	97	97	97	97	97	97	99	99	96	97	99	99	97	97	99	99	97	98	98	97	96	99	99	97	97	96	96	96	110	110	110	109	106	110	110	106	106	107	106	111	109	110	109	109	107	106	107	109	107	108	108	107	111	111	106	106	107	106	106	109	121	122	121	121	122	122	122	123	121	123	122	122	121	121	122	122	122	123	122	136	137	136	137	136	136	137	137	136	136	137	137	136	136	99	96
acvds	639	795	637	636	635	637	639	636	635	636	637	638	635	636	637	638	636	639	636	636	637	637	635	636	638	638	636	635	636	636	636	637	638	636	634	636	635	639	636	640	637	636	638	642	636	636	634	636	636	636	639	635	634	91	72	72	64	0	2	93	72	72	72	72	72	72	72	72	73	72	0	1	1	0	1	1	1	107	2	0	1	2	2	93	95	93	93	95	93	93	94	93	93	4	1	1	116	118	116	121	119	118	92	88	88	88	88	93	94	90	91	92	121	121	88	88	89	89	88	88	89	88	88	88	89	88	92	93	93	92	92	93	92	93	92	92	93	93	92	91	92	93	92	91	92	92	93	0	0	2	2	1	1	0	1	92	94	92	92	91	91	93	90	98	99	100	98	97	97	98	98	98	98	98	98	98	100	100	97	98	100	100	98	98	100	100	98	99	99	98	97	100	100	98	98	97	97	97	111	111	111	110	107	111	111	107	107	108	107	112	110	111	110	110	108	107	108	110	108	109	109	108	112	112	107	107	108	107	107	110	122	123	122	122	123	123	123	124	122	124	123	123	122	122	123	123	123	124	123	137	138	137	138	137	137	138	138	137	137	138	138	137	137	100	97
